"","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","FlightNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Distance","TaxiIn","TaxiOut","Cancelled","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
"Month",1,0.0529443492180772,0.00618768015723885,-0.00461320368677277,-0.00802376813856953,0.000954594477042751,0.00251157181831955,0.00567673269474232,-0.000192347427449052,0.00115360850548952,-0.00636333742812142,0.0106906047179415,0.0119956263935581,0.00164871080364303,0.0251330885031977,0.0142024041167273,NA,NA,-0.000232469525435082,0.00559775119687387,0.0135334745910212,-0.00316529624206836,0.00217603246624442
"DayofMonth",0.0529443492180772,1,0.0261803245273728,0.00469070550269388,0.00450824695463811,0.00419525986140146,0.00493823911823636,-0.00388146955968108,-0.0017558653887111,-0.000528052573867654,-0.00159897749460881,0.00933222801686563,0.0106520833482427,-0.00178735823933918,-0.0028587592128234,8.20199014727347e-05,NA,NA,0.000248718336192706,0.00124884671391356,0.00411374990685848,-0.000275854141528492,0.00938451515345337
"DayOfWeek",0.00618768015723885,0.0261803245273728,1,0.0236683286457671,0.0279636543413358,0.00982111057871146,0.0188280590140186,-0.00704516269155346,0.00360246960381637,0.0070047777587231,0.00535425161212103,0.0151832117705581,0.0185718714212808,0.00942066309065481,0.0113427747265821,-0.0102378712388239,NA,NA,0.0123186180125575,0.0064407501149101,-0.00727358929477709,0.00451277139992555,0.0120236364459204
"DepTime",-0.00461320368677277,0.00469070550269388,0.0236683286457671,1,0.877382012763406,0.434226710395129,0.741836112177169,-0.0161236288541963,-0.101652889216995,-0.0603184933836089,-0.08879660548939,0.142227213072125,0.19542316251069,-0.0693091744537214,-0.072152952919789,-0.0452110122509476,NA,NA,0.00178742341629,0.0230418314251281,-0.0133414128887202,-0.00906473109411501,0.205079237638807
"CRSDepTime",-0.00802376813856953,0.00450824695463811,0.0279636543413358,0.877382012763406,1,0.367486538652544,0.751538827211393,-0.045506099667339,-0.0779280987084938,-0.0402458706065935,-0.0655613427271981,0.0665984303153859,0.116088310169245,-0.0420380871348711,-0.0758911975890471,-0.0365286786352089,NA,NA,-0.0539160366924736,0.00690883223794172,-0.0522531112732739,-0.0114473796838411,0.191593579688668
"ArrTime",0.000954594477042751,0.00419525986140146,0.00982111057871146,0.434226710395129,0.367486538652544,1,0.548763513937994,-0.00492412213629107,-0.033434817084783,-0.0230398480865324,-0.0322852246639007,-0.0437276983092172,-0.0271607634391472,-0.035600750908742,0.0151369285100577,-0.0177516384090369,NA,NA,-0.058127668293002,-0.020295844734889,0.0193852938540473,-0.00534478473796368,-0.00971489902853917
"CRSArrTime",0.00251157181831955,0.00493823911823636,0.0188280590140186,0.741836112177169,0.751538827211393,0.548763513937994,1,-0.0596107448644032,0.0064436417714482,0.0376317162762968,0.01073656092177,0.0642936987434647,0.0997624252754985,0.0251466414554996,-0.0269693166462464,-0.00485116539857759,NA,NA,-0.0533698246242863,0.00756799634630567,-0.0105959886803637,-0.00923664341040122,0.153406266347111
"FlightNum",0.00567673269474232,-0.00388146955968108,-0.00704516269155346,-0.0161236288541963,-0.045506099667339,-0.00492412213629107,-0.0596107448644032,1,-0.339189919545622,-0.356295174119239,-0.360075200162022,0.0407843848479426,0.0433900614294258,-0.375161096525861,-0.0103809311512603,0.00754388698707,NA,NA,0.0571922591972793,0.0643911179463816,0.00442307887720601,-0.00120562731324422,-0.0345558462461135
"ActualElapsedTime",-0.000192347427449052,-0.0017558653887111,0.00360246960381637,-0.101652889216995,-0.0779280987084938,-0.033434817084783,0.0064436417714482,-0.339189919545622,1,0.960273683996848,0.96528758596357,0.0262022201886813,-0.0962952955779606,0.939601716633418,0.158938581323059,0.30013416543979,NA,NA,-0.0329188097570774,-0.0137118025342136,0.203805498110007,0.000317834166500234,-0.0870029828405777
"CRSElapsedTime",0.00115360850548952,-0.000528052573867654,0.0070047777587231,-0.0603184933836089,-0.0402458706065935,-0.0230398480865324,0.0376317162762968,-0.356295174119239,0.960273683996848,1,0.982212609272511,-0.000222959577202021,-0.0220026252206624,0.982061511133891,0.0834098399996004,0.101464613827319,NA,NA,0.00297862221056019,-0.0227532963164424,0.0569929786309189,0.0029104848493125,-0.0385018436042573
"AirTime",-0.00636333742812142,-0.00159897749460881,0.00535425161212103,-0.08879660548939,-0.0655613427271981,-0.0322852246639007,0.01073656092177,-0.360075200162022,0.96528758596357,0.982212609272511,1,-0.0143106959131603,-0.0638147658310146,0.9764587907511,0.0701329255909843,0.0584123650808466,NA,NA,-0.0110808611892053,-0.0275138333698092,0.0771484789506599,0.00288148156424935,-0.0586623220399108
"ArrDelay",0.0106906047179415,0.00933222801686563,0.0151832117705581,0.142227213072125,0.0665984303153859,-0.0437276983092172,0.0642936987434647,0.0407843848479426,0.0262022201886813,-0.000222959577202021,-0.0143106959131603,1,0.932972651239337,-0.0130441852175957,0.0507265197854707,0.142820497079144,NA,NA,0.518204943885184,0.271146986841369,0.354227941940762,0.00183274614811561,0.504191155055556
"DepDelay",0.0119956263935581,0.0106520833482427,0.0185718714212808,0.19542316251069,0.116088310169245,-0.0271607634391472,0.0997624252754985,0.0433900614294258,-0.0962952955779606,-0.0220026252206624,-0.0638147658310146,0.932972651239337,1,-0.0295547772108277,-0.0547245531551218,-0.126236186045616,NA,NA,0.547380729272514,0.252206323408397,0.148543047287215,0.00491263312166644,0.553162693279803
"Distance",0.00164871080364303,-0.00178735823933918,0.00942066309065481,-0.0693091744537214,-0.0420380871348711,-0.035600750908742,0.0251466414554996,-0.375161096525861,0.939601716633418,0.982061511133891,0.9764587907511,-0.0130441852175957,-0.0295547772108277,1,0.0635893883466722,0.0468079637997833,NA,NA,0.00651270754239249,-0.0284403218594542,0.0291564379406992,0.00387583629537085,-0.0353850492963227
"TaxiIn",0.0251330885031977,-0.0028587592128234,0.0113427747265821,-0.072152952919789,-0.0758911975890471,0.0151369285100577,-0.0269693166462464,-0.0103809311512603,0.158938581323059,0.0834098399996004,0.0701329255909843,0.0507265197854707,-0.0547245531551218,0.0635893883466722,1,-0.00114004372254566,NA,NA,-0.0499303450649848,0.00634292935450898,0.211058226006602,-0.00705320051319764,-0.0494290230608119
"TaxiOut",0.0142024041167273,8.20199014727347e-05,-0.0102378712388239,-0.0452110122509476,-0.0365286786352089,-0.0177516384090369,-0.00485116539857759,0.00754388698707,0.30013416543979,0.101464613827319,0.0584123650808466,0.142820497079144,-0.126236186045616,0.0468079637997833,-0.00114004372254566,1,NA,NA,-0.0726760776368295,0.0476752825648453,0.454225300835019,-0.00713165322858673,-0.110185029302136
"Cancelled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"Diverted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"CarrierDelay",-0.000232469525435082,0.000248718336192706,0.0123186180125575,0.00178742341629,-0.0539160366924736,-0.058127668293002,-0.0533698246242863,0.0571922591972793,-0.0329188097570774,0.00297862221056019,-0.0110808611892053,0.518204943885184,0.547380729272514,0.00651270754239249,-0.0499303450649848,-0.0726760776368295,NA,NA,1,-0.0544908908120554,-0.139662496816754,-0.0149776549475031,-0.125622953634191
"WeatherDelay",0.00559775119687387,0.00124884671391356,0.0064407501149101,0.0230418314251281,0.00690883223794172,-0.020295844734889,0.00756799634630567,0.0643911179463816,-0.0137118025342136,-0.0227532963164424,-0.0275138333698092,0.271146986841369,0.252206323408397,-0.0284403218594542,0.00634292935450898,0.0476752825648453,NA,NA,-0.0544908908120554,1,-0.0130422150308525,-0.00619010962749762,-0.0354247698986683
"NASDelay",0.0135334745910212,0.00411374990685848,-0.00727358929477709,-0.0133414128887202,-0.0522531112732739,0.0193852938540473,-0.0105959886803637,0.00442307887720601,0.203805498110007,0.0569929786309189,0.0771484789506599,0.354227941940762,0.148543047287215,0.0291564379406992,0.211058226006602,0.454225300835019,NA,NA,-0.139662496816754,-0.0130422150308525,1,-0.0141555655968518,-0.146851041172464
"SecurityDelay",-0.00316529624206836,-0.000275854141528492,0.00451277139992555,-0.00906473109411501,-0.0114473796838411,-0.00534478473796368,-0.00923664341040122,-0.00120562731324422,0.000317834166500234,0.0029104848493125,0.00288148156424935,0.00183274614811561,0.00491263312166644,0.00387583629537085,-0.00705320051319764,-0.00713165322858673,NA,NA,-0.0149776549475031,-0.00619010962749762,-0.0141555655968518,1,-0.0142733623252007
"LateAircraftDelay",0.00217603246624442,0.00938451515345337,0.0120236364459204,0.205079237638807,0.191593579688668,-0.00971489902853917,0.153406266347111,-0.0345558462461135,-0.0870029828405777,-0.0385018436042573,-0.0586623220399108,0.504191155055556,0.553162693279803,-0.0353850492963227,-0.0494290230608119,-0.110185029302136,NA,NA,-0.125622953634191,-0.0354247698986683,-0.146851041172464,-0.0142733623252007,1
