"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-26.5660685255758,1649.61510670983,-0.0161044042440675,0.98715109989277
"Month2",2.05531436326133e-13,802.372837456889,2.56154529080973e-16,1
"Month3",2.88553739741516e-13,783.560503130542,3.68259679486987e-16,1
"Month4",2.00201875623079e-13,787.809798271401,2.54124632699871e-16,1
"Month5",1.30358147647069e-13,783.438659700724,1.66392283598649e-16,1
"Month6",3.109536849184e-13,786.003431434693,3.95613648086518e-16,1
"Month7",-1.01909833144414e-11,777.989936868553,-1.30991197077183e-14,0.99999999999999
"Month8",1.50207288526553e-13,783.364179112464,1.91746434840478e-16,1
"Month9",3.39961316430881e-13,810.153209249579,4.19625957842933e-16,1
"Month10",7.22593983711913e-14,800.873769336094,9.02257023988845e-17,1
"Month11",2.47683276126978e-13,815.480070596403,3.03726951838117e-16,1
"Month12",4.34235064359334e-13,810.633136465092,5.35673962518844e-16,1
"DayofMonth2",-4.36249866273725e-13,1272.66925185141,-3.42783378822968e-16,1
"DayofMonth3",-1.20987318082398e-13,1271.87278767981,-9.51253295568235e-17,1
"DayofMonth4",-2.23426697142767e-13,1276.3549831972,-1.75050593356948e-16,1
"DayofMonth5",-5.8337971698627e-13,1274.41646302039,-4.57762226018055e-16,1
"DayofMonth6",-5.46122020338208e-13,1282.61868831698,-4.25786732497105e-16,1
"DayofMonth7",-2.72674854517401e-11,1268.31316118068,-2.14990163993542e-14,0.999999999999983
"DayofMonth8",-4.1190023497502e-14,1272.27842679679,-3.2375007411865e-17,1
"DayofMonth9",-5.1002470498117e-13,1278.9873666856,-3.98772277401662e-16,1
"DayofMonth10",-1.13493016473569e-13,1273.90965640487,-8.90903180637317e-17,1
"DayofMonth11",-5.33126768801178e-14,1268.26894621776,-4.20357819523275e-17,1
"DayofMonth12",-5.59890511366516e-13,1276.75513291163,-4.38526148776616e-16,1
"DayofMonth13",-5.92081459935654e-13,1281.05840983,-4.62181470721717e-16,1
"DayofMonth14",4.50121165421742e-13,1269.64200980478,3.54526049032478e-16,1
"DayofMonth15",-8.39859215044176e-14,1268.91441157835,-6.6187223297394e-17,1
"DayofMonth16",-4.56992256207685e-13,1275.734378434,-3.5821897091827e-16,1
"DayofMonth17",-1.21951359929538e-13,1271.96993350697,-9.58759768741579e-17,1
"DayofMonth18",-1.37069414173561e-14,1267.62864612133,-1.08130574828018e-17,1
"DayofMonth19",-5.53415854985972e-13,1277.06506090822,-4.33349773575668e-16,1
"DayofMonth20",-5.90875617577153e-13,1275.78007095003,-4.63148493248643e-16,1
"DayofMonth21",4.80718077760881e-13,1269.91137141972,3.78544588685313e-16,1
"DayofMonth22",-2.40465195408419e-14,1270.60014099699,-1.89253241558541e-17,1
"DayofMonth23",-4.65773953731038e-13,1275.1381049098,-3.65273339364278e-16,1
"DayofMonth24",-1.27172830352354e-13,1273.99579016448,-9.98220177289083e-17,1
"DayofMonth25",1.37202949551716e-14,1273.31825323454,1.07752283612668e-17,1
"DayofMonth26",-5.60190792933938e-13,1277.31788122509,-4.38568034760973e-16,1
"DayofMonth27",-5.37522521203883e-13,1288.0176788992,-4.17325421855449e-16,1
"DayofMonth28",4.25761178915452e-13,1273.73913172739,3.34260892446678e-16,1
"DayofMonth29",-8.16371788569086e-14,1265.34635862805,-6.45176542377091e-17,1
"DayofMonth30",-3.53970966841037e-13,1301.55892563739,-2.7195923278517e-16,1
"DayofMonth31",6.64693763871995e-13,1519.28959013718,4.3750300679147e-16,1
"DayOfWeek2",5.45612811735029e-12,609.742808805381,8.94824512656415e-15,0.999999999999993
"DayOfWeek3",5.54323102444486e-12,612.649981482601,9.04795754833836e-15,0.999999999999993
"DayOfWeek4",5.99938526764976e-12,603.948543179238,9.93360334320614e-15,0.999999999999992
"DayOfWeek5",5.72886499293813e-12,604.204936166271,9.48165870555154e-15,0.999999999999992
"DayOfWeek6",5.61788999733878e-12,641.355561347271,8.75940014543181e-15,0.999999999999993
"DayOfWeek7",5.81769200247901e-12,617.051262371102,9.42821505643429e-15,0.999999999999992
"DepTime",-1.50622772142827e-16,1.45943012506131,-1.03206566423658e-16,1
"CRSDepTime",1.65577862050789e-15,1.4787838942848,1.11968937916293e-15,0.999999999999999
"ArrTime",2.64776763847459e-17,0.648577507468485,4.08242285306702e-17,1
"CRSArrTime",-2.28549615302173e-16,0.788217202129274,-2.89957659747559e-16,1
"UniqueCarrierAA",-6.69832818221808e-13,1035.97178629421,-6.46574382703875e-16,0.999999999999999
"UniqueCarrierAQ",-6.35794105598093e-13,4964.37444038136,-1.28071343778261e-16,1
"UniqueCarrierAS",-1.08261510248812e-12,1409.1332604329,-7.68284400692901e-16,0.999999999999999
"UniqueCarrierB6",-1.97808647556603e-12,1308.44288325683,-1.51178664416929e-15,0.999999999999999
"UniqueCarrierCO",-1.32281895671482e-12,1177.21761307295,-1.12368260721295e-15,0.999999999999999
"UniqueCarrierDL",-6.93110563724869e-13,1071.35647213385,-6.46946727585807e-16,0.999999999999999
"UniqueCarrierEV",1.09886388300431e-13,1174.76797136228,9.35388016860939e-17,1
"UniqueCarrierF9",-2.86080947409082e-13,1630.32034146414,-1.75475297788508e-16,1
"UniqueCarrierFL",-2.46943621562098e-11,1199.38477129438,-2.05891910146229e-14,0.999999999999984
"UniqueCarrierHA",4.5317893132313e-13,1955.65802789194,2.3172708360041e-16,1
