"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-26.5660685141099,1617.76973266933,-0.0164214152222244,0.986898195175366
"Month2",-6.34367947825052e-16,802.107269461659,-7.90876696892192e-19,1
"Month3",-5.71432325400439e-13,783.5228992232,-7.29311582299596e-16,0.999999999999999
"Month4",4.96933186001821e-11,787.783806070925,6.30798935154909e-14,0.99999999999995
"Month5",-6.40160527654544e-13,783.719531012804,-8.16823496573145e-16,0.999999999999999
"Month6",-9.65149888589757e-14,786.041981891181,-1.22786048433145e-16,1
"Month7",-3.28246024094781e-13,777.809945652278,-4.22013148494149e-16,1
"Month8",-7.96482481226195e-13,783.550520829959,-1.01650430961687e-15,0.999999999999999
"Month9",-2.61220670935763e-12,810.374174029955,-3.22345750033869e-15,0.999999999999997
"Month10",-1.57224915681017e-12,800.905130845583,-1.9630903789444e-15,0.999999999999998
"Month11",-1.36833941427121e-12,815.22787565102,-1.67847476164685e-15,0.999999999999999
"Month12",-3.5205945375715e-13,810.324199350673,-4.34467407044318e-16,1
"DayofMonth2",1.88785644946737e-12,1271.15193058416,1.48515405912163e-15,0.999999999999999
"DayofMonth3",1.96253106495996e-13,1270.8025538515,1.54432414304802e-16,1
"DayofMonth4",1.28413952779592e-13,1277.06026287957,1.00554340709059e-16,1
"DayofMonth5",2.41165506014917e-12,1274.21939402565,1.89265292261015e-15,0.999999999999998
"DayofMonth6",2.63977719904163e-12,1279.96496085667,2.06238239308898e-15,0.999999999999998
"DayofMonth7",1.2635135285844e-10,1268.61278018305,9.95980450710967e-14,0.999999999999921
"DayofMonth8",4.1988206493153e-13,1272.11734304629,3.30065514181306e-16,1
"DayofMonth9",2.23580857845981e-12,1279.4318522815,1.74750110720854e-15,0.999999999999999
"DayofMonth10",8.2344083784604e-13,1274.1704323918,6.46256432352087e-16,0.999999999999999
"DayofMonth11",7.20552571688301e-14,1267.93430466167,5.68288569083689e-17,1
"DayofMonth12",2.54114873703435e-12,1276.30214894349,1.99102441309676e-15,0.999999999999998
"DayofMonth13",2.45141278284741e-12,1281.60631291195,1.91276584560319e-15,0.999999999999998
"DayofMonth14",-2.4035344366838e-12,1268.79787581847,-1.894339896442e-15,0.999999999999998
"DayofMonth15",1.40254668519506e-13,1268.09888443675,1.10602312044303e-16,1
"DayofMonth16",1.86458994714439e-12,1275.10323773163,1.4623050839879e-15,0.999999999999999
"DayofMonth17",1.08359475470308e-13,1272.06667184159,8.51838019727649e-17,1
"DayofMonth18",-1.63366838862999e-13,1266.75007009411,-1.28965328457303e-16,1
"DayofMonth19",2.48427245984831e-12,1276.50067494486,1.946158359811e-15,0.999999999999998
"DayofMonth20",2.66467854684976e-12,1275.73112144837,2.08874621152495e-15,0.999999999999998
"DayofMonth21",-2.21238282519603e-12,1270.1082183135,-1.74188529236803e-15,0.999999999999999
"DayofMonth22",3.35791785074948e-13,1270.54681999675,2.6428918619135e-16,1
"DayofMonth23",2.00879261867903e-12,1275.46882576421,1.57494450519044e-15,0.999999999999999
"DayofMonth24",-4.37770646748983e-14,1273.14440499821,-3.43849955299925e-17,1
"DayofMonth25",-4.32661208369772e-13,1273.86425367091,-3.39644673380988e-16,1
"DayofMonth26",2.78123513383181e-12,1277.38195061866,2.17729327746083e-15,0.999999999999998
"DayofMonth27",2.64357353594231e-12,1287.58104414139,2.05313176049835e-15,0.999999999999998
"DayofMonth28",-2.54894118401663e-12,1273.32042992059,-2.00180655561742e-15,0.999999999999998
"DayofMonth29",-2.27054843226858e-13,1265.51463267749,-1.79417003457693e-16,1
"DayofMonth30",1.35564129268207e-12,1300.87272079219,1.04210140701277e-15,0.999999999999999
"DayofMonth31",5.22839395745587e-12,1519.59417048454,3.44065149696431e-15,0.999999999999997
"DayOfWeek2",-2.51377806807288e-11,609.851238206946,-4.12195288061358e-14,0.999999999999967
"DayOfWeek3",-2.59231073960725e-11,612.749048083611,-4.2306238544389e-14,0.999999999999966
"DayOfWeek4",-2.66829443496678e-11,603.966843710552,-4.41794853931675e-14,0.999999999999965
"DayOfWeek5",-2.6141979360945e-11,604.227244900817,-4.32651449956318e-14,0.999999999999965
"DayOfWeek6",-2.5538897805571e-11,641.546331743002,-3.98083451528513e-14,0.999999999999968
"DayOfWeek7",-2.69867371388234e-11,617.089447039847,-4.37322940268671e-14,0.999999999999965
"CRSDepTime",1.1252492931613e-15,0.578795355392338,1.94412287983642e-15,0.999999999999998
"CRSArrTime",1.66072748323003e-15,0.557359220289598,2.97963579460861e-15,0.999999999999998
"UniqueCarrierAA",5.46778600213672e-11,1033.88338896185,5.28859062880104e-14,0.999999999999958
"UniqueCarrierAQ",-2.71371835857898e-13,4968.45353162236,-5.46189743208257e-17,1
"UniqueCarrierAS",2.76782198025537e-12,1403.68309975047,1.97182824296125e-15,0.999999999999998
"UniqueCarrierB6",5.60102028200608e-12,1305.01257439435,4.29192820966151e-15,0.999999999999997
"UniqueCarrierCO",5.54494468251582e-12,1176.28370457294,4.71395179662796e-15,0.999999999999996
"UniqueCarrierDL",3.98147847441021e-12,1070.48495049281,3.71932223108534e-15,0.999999999999997
"UniqueCarrierEV",-3.12262233318498e-13,1173.58820989082,-2.66074787294896e-16,1
"UniqueCarrierF9",2.18517604480402e-12,1627.05468241124,1.34302557155957e-15,0.999999999999999
"UniqueCarrierFL",1.43676374880722e-12,1196.17717587343,1.20112954651398e-15,0.999999999999999
"UniqueCarrierHA",-2.31582722352432e-12,1944.38083285794,-1.19103582198987e-15,0.999999999999999
"UniqueCarrierMQ",-4.71782113956225e-13,1050.27238450781,-4.49199770378915e-16,1
"UniqueCarrierNW",2.58805416610961e-12,1121.44781051483,2.30777940965572e-15,0.999999999999998
"UniqueCarrierOH",1.63661245309734e-12,1292.25371846255,1.26647919809778e-15,0.999999999999999
"UniqueCarrierOO",-8.92215163886725e-13,1023.32012879361,-8.71882745958055e-16,0.999999999999999
"UniqueCarrierUA",4.21155825038786e-12,1083.25443075482,3.88787539733691e-15,0.999999999999997
"UniqueCarrierUS",2.4643951978975e-12,1066.53670821754,2.31065201873468e-15,0.999999999999998
"UniqueCarrierWN",-1.1955063858882e-12,943.938679175827,-1.26650852673187e-15,0.999999999999999
"UniqueCarrierXE",5.76096526230525e-13,1102.69903811533,5.22442213439448e-16,1
"UniqueCarrierYV",-2.62932272149849e-13,1207.0384468803,-2.17832557719616e-16,1
"CRSElapsedTime",-1.89807286207499e-13,13.6815399296408,-1.38732399410892e-14,0.999999999999989
"ArrDelay",-2.86465987365781e-13,11.8159545101301,-2.42439988339653e-14,0.999999999999981
"Distance",1.54798798489527e-14,1.67909536380384,9.21917848304007e-15,0.999999999999993
"DepDelay",2.24817109873217e-13,12.9437703541856,1.73687498867374e-14,0.999999999999986
