"","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","FlightNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Distance","TaxiIn","TaxiOut","Cancelled","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
"Month",1,0.0109086684474512,0.00299010820350313,-0.00620764919915988,-0.00557697676071371,-0.00293934199952174,-0.00346202776749502,-0.0160335569085656,-0.00199581339806418,-0.000590261660988968,-0.00279240822137396,-0.0124625999383296,-0.0107356249533646,0.00186630634226598,-0.000862431013226656,9.46018193961934e-05,NA,NA,-0.00590587248189933,-0.00444452992460609,-0.00664442911912274,0.000182104216868632,-0.00874239709193764
"DayofMonth",0.0109086684474512,1,-0.000239512722915442,-6.24441157940929e-05,-0.000828405211151773,-0.00144905222735773,-0.000766752952803512,-0.000901018259908519,0.00200479859805008,0.00134744219426654,0.00121602797742508,0.013801194892102,0.0137145698003928,0.00133887730099411,0.000350694368111936,0.00325587142246035,NA,NA,0.00601221592964884,0.00312031909915976,0.00331233459809263,0.001182389360938,0.0107450190302839
"DayOfWeek",0.00299010820350313,-0.000239512722915442,1,0.00637756729752981,0.00700012644749474,0.00564763374833046,0.00712228092682113,0.000403805001579727,0.00763923433019352,0.0130454715533803,0.00960436287480372,-0.00467944523614852,0.00554785865621099,0.0136419319461334,0.000724280382219939,-0.0170704654117158,NA,NA,0.0086752626862579,-0.0014053582235859,-0.0137707014430785,0.0034691884762727,-0.000304240647146373
"DepTime",-0.00620764919915988,-6.24441157940929e-05,0.00637756729752981,1,0.966056880846551,0.714181346222431,0.790061107927715,0.00162885073122784,-0.0221780555601343,-0.0228970637880407,-0.0453855987667676,0.193799754246514,0.211173600155976,-0.0247120393830564,0.0393582013365825,0.0500065250606133,NA,NA,0.0603996700253328,0.0482974858422439,0.0818209308871307,0.00201598506006038,0.175803688233568
"CRSDepTime",-0.00557697676071371,-0.000828405211151773,0.00700012644749474,0.966056880846551,1,0.695251032017853,0.786171488335635,-0.00650916581241882,-0.019505137690675,-0.018945937923842,-0.0389314141961004,0.134671321928264,0.14898777192517,-0.0184410590187417,0.0353788260847398,0.042321059772263,NA,NA,0.0219434864900215,0.0322606316078663,0.0476253833391767,-0.00103410399519919,0.146805486468341
"ArrTime",-0.00293934199952174,-0.00144905222735773,0.00564763374833046,0.714181346222431,0.695251032017853,1,0.866264552479773,-0.0168539406575424,0.038466148838884,0.0335838130385984,0.00471895531006914,0.0884398000383191,0.0857131059964216,0.0253116565885914,0.0430220682433937,0.0613652213256701,NA,NA,0.0120734974832412,0.0162455824678269,0.0755001542385787,-0.000617248426980538,0.0524114212727078
"CRSArrTime",-0.00346202776749502,-0.000766752952803512,0.00712228092682113,0.790061107927715,0.786171488335635,0.866264552479773,1,-0.0319983829595043,0.0531422301596766,0.0527245264722351,0.0423389256330026,0.131821914641085,0.14171118386267,0.0447308520829493,-0.0124811174622293,0.0638542383058529,NA,NA,0.0203014672959426,0.0307465831207112,0.0655990043315164,-0.000255152503326918,0.132461230817407
"FlightNum",-0.0160335569085656,-0.000901018259908519,0.000403805001579727,0.00162885073122784,-0.00650916581241882,-0.0168539406575424,-0.0319983829595043,1,-0.324463279131869,-0.327569670985892,-0.282273905818565,0.0174281367371749,0.0225741910181308,-0.347601021712576,0.029237436042337,-0.01849533169601,NA,NA,0.0353061355122225,0.0395425948537069,-0.00366808183300893,-0.00142617176757858,-0.0114575321647465
"ActualElapsedTime",-0.00199581339806418,0.00200479859805008,0.00763923433019352,-0.0221780555601343,-0.019505137690675,0.038466148838884,0.0531422301596766,-0.324463279131869,1,0.978131151284141,0.852276533959544,0.0894792820584477,0.0237129319731788,0.961372439867549,0.0142017387031129,0.262139185252245,NA,NA,0.0221555564160331,0.00761439566209295,0.158307480490272,0.00626628795789742,0.00479764575605936
"CRSElapsedTime",-0.000590261660988968,0.00134744219426654,0.0130454715533803,-0.0228970637880407,-0.018945937923842,0.0335838130385984,0.0527245264722351,-0.327569670985892,0.978131151284141,1,0.855625981311311,0.00526985484882215,0.0204043947146273,0.981963033497556,0.00632798488712987,0.140661860069999,NA,NA,0.0157168061095563,-0.0062123994980971,0.0451497974514501,0.0051750151534083,-0.00393628624633706
"AirTime",-0.00279240822137396,0.00121602797742508,0.00960436287480372,-0.0453855987667676,-0.0389314141961004,0.00471895531006914,0.0423389256330026,-0.282273905818565,0.852276533959544,0.855625981311311,1,0.00769310610286203,-0.0105043792512048,0.851315425935532,-0.439854533288941,0.0658048364601455,NA,NA,0.0040525178904346,-0.0310054077546015,0.0528858808745672,0.00470940394010241,-0.00818157787997972
"ArrDelay",-0.0124625999383296,0.013801194892102,-0.00467944523614852,0.193799754246514,0.134671321928264,0.0884398000383191,0.131821914641085,0.0174281367371749,0.0894792820584477,0.00526985484882215,0.00769310610286203,1,0.920891265874293,-0.00284674144497985,0.0489253330003266,0.309663119107685,NA,NA,0.560299983118392,0.286456080049013,0.510068299730448,0.0334242745768044,0.600905148514757
"DepDelay",-0.0107356249533646,0.0137145698003928,0.00554785865621099,0.211173600155976,0.14898777192517,0.0857131059964216,0.14171118386267,0.0225741910181308,0.0237129319731788,0.0204043947146273,-0.0105043792512048,0.920891265874293,1,0.00945704023465333,0.0372230574706116,0.0861092516581997,NA,NA,0.599110384603091,0.285177632065477,0.325012557990048,0.0341662173136206,0.639386424964443
"Distance",0.00186630634226598,0.00133887730099411,0.0136419319461334,-0.0247120393830564,-0.0184410590187417,0.0253116565885914,0.0447308520829493,-0.347601021712576,0.961372439867549,0.981963033497556,0.851315425935532,-0.00284674144497985,0.00945704023465333,1,0.00349629146184189,0.102911096724572,NA,NA,0.0129566098475235,-0.0105507749103656,0.0288072437264046,0.00524231180285032,-0.00875507290616323
"TaxiIn",-0.000862431013226656,0.000350694368111936,0.000724280382219939,0.0393582013365825,0.0353788260847398,0.0430220682433937,-0.0124811174622293,0.029237436042337,0.0142017387031129,0.00632798488712987,-0.439854533288941,0.0489253330003266,0.0372230574706116,0.00349629146184189,1,0.0108279545813285,NA,NA,0.0202851599112741,0.0595216063350501,0.036379851032084,0.00128235094770737,0.00474581342167375
"TaxiOut",9.46018193961934e-05,0.00325587142246035,-0.0170704654117158,0.0500065250606133,0.042321059772263,0.0613652213256701,0.0638542383058529,-0.01849533169601,0.262139185252245,0.140661860069999,0.0658048364601455,0.309663119107685,0.0861092516581997,0.102911096724572,0.0108279545813285,1,NA,NA,0.041487100944787,0.0711545501661685,0.451598665546101,0.00437447085147898,0.0502154557807704
"Cancelled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"Diverted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
